iter,time,reward,steps,convergence,policy
1,5.495693000000301,-192.0,294.0,79.8,False
2,3.8349579999996664,-141.0,243.0,62.89005650399999,False
3,3.7423529999998095,-488.0,590.0,55.575838995034324,False
4,5.812359999999295,7.0,95.0,44.15508704420816,False
5,6.534996000000071,79.0,23.0,39.9159990102501,False
6,7.886584000000418,88.0,14.0,31.43747902169509,False
7,8.081928000000183,84.0,18.0,39.64332950542755,False
8,8.653132999999258,86.0,16.0,24.541842924372315,True
9,12.009363000000661,83.0,19.0,21.736631351978534,True
10,12.71455300000035,88.0,14.0,14.856407112681573,True
11,31.867694999999863,85.0,17.0,10.046875727985494,True
12,20.94844799999951,87.0,15.0,6.267557462570373,True
13,24.991545999999865,86.0,16.0,3.625566391510773,True
14,24.52909699999939,84.0,18.0,1.9797079832688667,True
15,37.66799100000107,87.0,15.0,1.0345298945357229,False
16,35.45133400000111,84.0,18.0,0.4355706045998744,True
17,24.61083799999919,87.0,15.0,0.39000951945862994,True
18,27.464421000001238,84.0,18.0,0.23524704583074652,True
19,31.402475000000152,82.0,20.0,0.12263328798614737,True
20,31.643166000000278,89.0,13.0,0.060413875376781334,True
21,28.022145999999637,82.0,20.0,0.028853196634997857,True
22,38.27775399999922,87.0,15.0,0.013505030496148152,True
23,39.094994999999244,85.0,17.0,0.0062313706871179875,True
24,37.93845199999879,77.0,25.0,0.0028447127621689106,True
25,36.63734800000107,89.0,13.0,0.0012880572732711926,True
26,35.45820000000077,84.0,18.0,0.0005794955830680237,True
27,63.59329200000019,86.0,16.0,0.0002593981804182022,True
28,45.709557000000345,85.0,17.0,0.00011564757741666654,True
29,37.38781200000041,82.0,20.0,5.1394174604979526e-05,True
30,27.73530199999996,89.0,13.0,2.2781467762911234e-05,True
31,26.352883999999577,84.0,18.0,1.0077826360088693e-05,True
32,32.692053000001664,86.0,16.0,4.450946505585307e-06,True
33,27.68976100000131,89.0,13.0,1.963297421525567e-06,True
34,31.2199239999984,87.0,15.0,8.651424678873809e-07,True
35,55.421415999999724,77.0,25.0,3.80937464683484e-07,True
36,61.1639869999987,86.0,16.0,1.6763408439146588e-07,True
37,41.73837499999955,86.0,16.0,7.373546395683661e-08,True
38,54.93585600000017,87.0,15.0,3.242247714752011e-08,True
39,59.51340000000016,87.0,15.0,1.4253203062253306e-08,True
40,66.7191099999993,89.0,13.0,6.264826879487373e-09,True
41,55.984226000001414,88.0,14.0,2.7533104685062426e-09,True
42,34.79905900000091,87.0,15.0,1.2099548030164442e-09,True
43,34.26976699999962,83.0,19.0,5.317417617334286e-10,True
44,42.96406499999961,81.0,21.0,2.3368329493678175e-10,True
45,39.07137300000052,85.0,17.0,1.0268763617204968e-10,True
46,38.94115800000009,76.0,26.0,4.5133674575481564e-11,True
47,37.63488999999964,76.0,26.0,1.98525640371372e-11,True
48,42.08934500000083,88.0,14.0,8.72546479513403e-12,True
49,39.73600800000021,82.0,20.0,3.808509063674137e-12,True
50,46.245679000000095,85.0,17.0,1.6626700016786344e-12,True
51,57.86344700000079,84.0,18.0,7.389644451905042e-13,True
52,49.46517700000008,89.0,13.0,3.126388037344441e-13,True
53,59.446113999999994,87.0,15.0,1.5631940186722204e-13,True
54,46.706150000000335,87.0,15.0,5.6843418860808015e-14,True
55,46.49369799999903,86.0,16.0,1.4210854715202004e-14,True
56,48.317157999999694,87.0,15.0,1.4210854715202004e-14,True
57,48.99310699999937,88.0,14.0,0.0,True
58,45.47999899999944,88.0,14.0,0.0,True
59,57.50466499999973,85.0,17.0,0.0,True
60,56.55696300000024,87.0,15.0,0.0,True
61,53.74933099999879,84.0,18.0,0.0,True
62,54.2135039999998,83.0,19.0,0.0,True
63,60.85877800000006,82.0,20.0,0.0,True
64,65.19125699999861,89.0,13.0,0.0,True
65,57.32098200000024,89.0,13.0,0.0,True
66,53.720087000000305,83.0,19.0,0.0,True
67,58.3609850000002,83.0,19.0,0.0,True
68,55.88599200000033,89.0,13.0,0.0,True
69,73.91281900000024,84.0,18.0,0.0,True
70,75.01724500000151,86.0,16.0,0.0,True
71,62.47403399999918,89.0,13.0,0.0,True
72,59.898369000000784,86.0,16.0,0.0,True
73,61.57211100000026,83.0,19.0,0.0,True
74,61.67671000000041,81.0,21.0,0.0,True
75,73.98209899999841,85.0,17.0,0.0,True
76,66.01720899999997,84.0,18.0,0.0,True
77,60.695472000000805,87.0,15.0,0.0,True
78,64.71960999999915,87.0,15.0,0.0,True
79,84.32869600000004,82.0,20.0,0.0,True
80,65.07777199999865,81.0,21.0,0.0,True
81,71.46867900000053,84.0,18.0,0.0,True
82,69.91951699999888,85.0,17.0,0.0,True
83,78.56791499999893,88.0,14.0,0.0,True
84,113.42835299999976,85.0,17.0,0.0,True
85,74.96524199999932,85.0,17.0,0.0,True
86,73.3093199999999,87.0,15.0,0.0,True
87,81.89440199999964,88.0,14.0,0.0,True
88,91.4495689999999,86.0,16.0,0.0,True
89,98.26271899999917,84.0,18.0,0.0,True
90,96.67541800000023,84.0,18.0,0.0,True
91,92.87907599999912,85.0,17.0,0.0,True
92,75.03527899999973,81.0,21.0,0.0,True
93,81.97237300000104,81.0,21.0,0.0,True
94,80.35113200000055,86.0,16.0,0.0,True
95,82.82509900000079,82.0,20.0,0.0,True
96,77.49734600000124,89.0,13.0,0.0,True
97,78.97423000000003,80.0,22.0,0.0,True
98,85.3707419999985,86.0,16.0,0.0,True
99,78.75457199999936,83.0,19.0,0.0,True
100,81.9971740000014,79.0,23.0,0.0,True
