iter,time,reward,steps,convergence,policy
1,11.683363999999585,-10778.0,10880.0,79.8,False
2,12.55149800000055,-16108.0,16210.0,66.20635167551741,False
3,24.06781400000213,-11924.0,12026.0,52.89325185374811,False
4,15.045392000001101,-7195.0,7297.0,37.1394481556161,False
5,19.300804000000227,-4704.0,4806.0,29.45892144828774,False
6,45.843132000001674,-993.0,1095.0,26.942753632829906,False
7,54.20880300000164,-495.0,597.0,23.520421463439174,False
8,56.44227499999843,-1308.0,1410.0,24.583116008831695,False
9,46.420309000001936,-472.0,574.0,20.517258300552264,False
10,46.046474000000615,23.0,79.0,20.839809343664264,False
11,96.84144799999927,-3124.0,3226.0,15.590288797967505,False
12,57.00098299999823,69.0,33.0,13.839202365213778,False
13,62.04411800000287,72.0,30.0,11.774400948768157,False
14,57.438199000003465,71.0,31.0,10.817898802479505,False
15,48.17081099999854,70.0,32.0,10.408547029769288,False
16,58.917372000003354,68.0,34.0,9.399269452881551,False
17,81.24844900000028,72.0,30.0,8.881056677768415,False
18,115.52260199999864,71.0,31.0,8.643982954902414,False
19,154.99085399999757,74.0,28.0,7.907621524475697,False
20,103.21573499999914,68.0,34.0,7.772002716777726,False
21,123.93485300000151,74.0,28.0,7.591605051418144,True
22,125.07899200000594,63.0,39.0,7.0586432505186645,False
23,82.602854000001,63.0,39.0,6.856486249860276,True
24,76.59568300000075,67.0,35.0,6.662778245713158,True
25,79.0047610000002,71.0,31.0,6.316229148714786,True
26,89.72355400000254,69.0,33.0,5.9454320850362,True
27,101.4504770000002,71.0,31.0,5.139947767916391,True
28,101.99292399999393,74.0,28.0,4.183086380681644,False
29,95.2893039999978,73.0,29.0,3.2155168922831123,True
30,123.07193799999538,69.0,33.0,2.804713337359427,True
31,110.10427699999781,61.0,41.0,2.414817891589667,True
32,120.09515100000101,75.0,27.0,1.836820215275111,False
33,103.8049889999968,71.0,31.0,1.34775921854391,True
34,123.97034800000029,74.0,28.0,1.16352133627149,True
35,133.91402900000315,72.0,30.0,0.9777859896049712,True
36,169.54167800000164,55.0,47.0,0.7340920589608366,True
37,141.85362399999946,68.0,34.0,0.5302467297193978,True
38,115.74043499999931,76.0,26.0,0.3734272651766837,True
39,122.68516500000004,64.0,38.0,0.2566457456047395,False
40,120.05437499999516,74.0,28.0,0.17525060700328154,True
41,121.32307000000253,60.0,42.0,0.14652690944313917,False
42,133.6772509999946,67.0,35.0,0.11164195076309369,True
43,149.59621299999526,67.0,35.0,0.09940728270140298,True
44,151.61858700000153,68.0,34.0,0.07524712450878113,True
45,139.13790200000165,76.0,26.0,0.05047708654419836,True
46,143.94968999999946,72.0,30.0,0.03206122667413425,True
47,145.22115400000501,70.0,32.0,0.019679563499725106,True
48,168.39470600000084,65.0,37.0,0.011772251719925464,True
49,214.56029599999482,52.0,50.0,0.006893182519032592,True
50,168.93098500000292,68.0,34.0,0.003961930041182171,True
51,161.87339200000395,65.0,37.0,0.0022397905501243542,True
52,171.09031300000055,75.0,27.0,0.0012474752665596611,True
53,166.84683900000152,63.0,39.0,0.0006854551662556219,True
54,190.75351500000437,73.0,29.0,0.00037202106023670467,True
55,172.80584299999902,57.0,45.0,0.0001996429649899767,True
56,222.65869299999963,66.0,36.0,0.00010603376375684093,True
57,174.04093200000403,71.0,31.0,5.578282759444164e-05,True
58,180.38694700000235,60.0,42.0,2.9090308238721718e-05,True
59,178.46377300000427,69.0,33.0,1.5048055310273867e-05,True
60,191.56591600000183,65.0,37.0,7.726111881822817e-06,True
61,201.64756100000147,73.0,29.0,3.939393089069654e-06,True
62,212.59068599999864,63.0,39.0,1.9957321057972877e-06,True
63,198.7020500000014,69.0,33.0,1.0050250480730938e-06,True
64,195.30021799999986,69.0,33.0,5.033067758120069e-07,True
65,217.7184419999989,68.0,34.0,2.507458312095423e-07,True
66,207.06720900000164,71.0,31.0,1.24316713367989e-07,True
67,202.7160479999992,66.0,36.0,6.135603314305627e-08,True
68,207.00139899999925,75.0,27.0,3.01538669589263e-08,True
